,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hithadhoo,100,MV,1570130383.7061212,77,-0.6,73.08,82.7,15.79
1,jamestown,21,AU,1570130384.1234715,76,-33.21,138.6,55.13,11.96
2,dingle,93,PH,1570130385.3959997,88,11.0,122.67,73.94,2.51
3,san cristobal,67,HN,1570130385.6907067,57,14.68,-86.92,81.88,4.63
4,kapaa,40,US,1570130385.8313117,70,22.08,-159.32,84.2,18.34
5,ruwi,0,OM,1570130386.074317,89,23.6,58.55,86.0,4.7
6,rikitea,50,PF,1570130386.3216193,75,-23.12,-134.97,68.65,14.7
7,sitka,100,US,1570130386.7350907,71,37.17,-99.65,57.0,11.01
8,hermanus,1,ZA,1570130387.0489383,89,-34.42,19.24,59.0,1.99
9,grand forks,90,US,1570130387.2892768,70,47.91,-97.06,46.4,9.17
10,busselton,96,AU,1570130387.7786186,48,-33.64,115.35,60.01,15.25
11,puerto ayora,20,EC,1570130388.4048965,57,-0.74,-90.35,77.0,20.8
12,utete,50,TZ,1570130388.7495782,72,-7.99,38.76,77.3,6.35
13,miquelon,20,PM,1570130389.0034497,50,47.1,-56.38,51.8,25.28
14,salalah,75,OM,1570130389.2451649,83,17.01,54.1,80.6,8.05
15,namibe,70,AO,1570130389.5169866,89,-15.19,12.15,65.28,12.91
16,mpika,25,ZM,1570130389.9739316,69,-11.84,31.4,68.86,8.68
17,khatanga,0,RU,1570130390.2452838,78,71.98,102.47,20.06,8.66
18,dunedin,16,NZ,1570130390.5023897,94,-45.87,170.5,48.99,3.0
19,albany,90,US,1570130390.80964,81,42.65,-73.75,53.01,6.93
20,wilmington,90,US,1570130390.9767559,93,39.75,-75.55,64.4,5.82
21,sao gabriel da cachoeira,40,BR,1570130391.32989,70,-0.13,-67.09,86.0,2.24
22,punta arenas,75,CL,1570130391.586199,61,-53.16,-70.91,46.4,23.04
23,xuddur,87,SO,1570130391.9589424,60,4.12,43.89,79.79,14.63
24,bismarck,90,US,1570130392.1100032,70,46.81,-100.78,45.0,3.36
25,yerbogachen,100,RU,1570130392.360792,97,61.28,108.01,35.69,8.14
26,tunkas,75,MX,1570130392.6399593,59,20.9,-88.75,91.4,11.41
27,king city,90,CA,1570130393.0010793,93,43.93,-79.54,55.4,4.7
28,tuktoyaktuk,90,CA,1570130393.3145459,100,69.44,-133.03,33.8,5.82
29,yellowknife,40,CA,1570130393.8093216,66,62.45,-114.38,50.0,8.05
30,zeerust,0,ZA,1570130394.0551245,34,-25.54,26.07,62.6,5.82
31,dali,99,CN,1570130394.4584625,89,34.79,109.94,63.95,3.01
32,alice springs,0,AU,1570130394.7135396,38,-23.7,133.88,60.8,14.09
33,beringovskiy,43,RU,1570130395.0862184,76,63.05,179.32,36.59,19.77
34,bredasdorp,0,ZA,1570130395.2615042,71,-34.53,20.04,59.0,2.24
35,mataura,79,NZ,1570130395.502215,93,-46.19,168.86,42.01,1.99
36,vaini,100,IN,1570130395.9254572,91,15.34,74.49,70.79,1.73
37,ushuaia,75,AR,1570130396.1751256,73,-54.81,-68.31,48.2,21.92
38,kavieng,90,PG,1570130396.4250321,71,-2.57,150.8,83.01,4.34
39,bubaque,80,GW,1570130396.760867,72,11.28,-15.83,82.78,5.79
40,yar-sale,100,RU,1570130398.0019858,93,66.83,70.83,40.55,10.69
41,hobart,90,AU,1570130398.1584988,54,-42.88,147.33,57.2,10.29
42,saskylakh,6,RU,1570130398.5358133,83,71.97,114.09,12.47,2.41
43,cape town,40,ZA,1570130398.7189858,82,-33.93,18.42,60.8,8.05
44,barrow,98,AR,1570130399.1658483,37,-38.31,-60.23,55.85,10.11
45,provideniya,98,RU,1570130399.4777079,99,64.42,-173.23,34.73,6.29
46,tasiilaq,90,GL,1570130399.8900805,70,65.61,-37.64,42.8,39.15
47,boundiali,47,CI,1570130400.2165446,85,9.53,-6.48,77.75,1.01
48,luderitz,0,NA,1570130400.4828217,85,-26.65,15.16,55.9,23.51
49,dikson,100,RU,1570130400.7548242,94,73.51,80.55,28.56,26.17
50,clyde river,75,CA,1570130401.150038,93,70.47,-68.59,35.6,17.22
51,krasnokamensk,0,RU,1570130401.4819584,40,50.1,118.04,31.49,2.35
52,saint marys,90,US,1570130402.0880353,93,41.43,-78.56,84.0,4.7
53,hasaki,75,JP,1570130402.3408048,73,35.73,140.83,73.4,12.75
54,churapcha,19,RU,1570130402.586898,89,62.0,132.43,18.28,4.9
55,aklavik,90,CA,1570130402.8304226,100,68.22,-135.01,33.8,2.24
56,dukat,71,AL,1570130403.0819216,81,40.25,19.57,66.47,6.82
57,sorland,40,NO,1570130403.5376384,54,67.67,12.69,32.0,4.7
58,guisa,75,CU,1570130403.803588,62,20.25,-76.54,89.6,5.82
59,silute,57,LT,1570130404.0667448,74,55.35,21.48,52.64,17.78
60,atuona,0,PF,1570130404.4871378,76,-9.8,-139.03,79.07,16.35
61,avarua,54,CK,1570130404.7328026,69,-21.21,-159.78,77.0,8.05
62,rio gallegos,4,AR,1570130405.113785,30,-51.62,-69.22,57.2,19.46
63,rio grande,90,BR,1570130405.5296133,68,-32.03,-52.1,66.2,17.22
64,mahebourg,75,MU,1570130405.8488019,100,-20.41,57.7,73.99,6.93
65,dongfeng,98,CN,1570130406.1065826,90,42.67,125.53,44.2,13.42
66,susanville,75,US,1570130406.4771972,28,40.42,-120.65,59.0,9.17
67,harper,75,US,1570130406.8947072,35,30.3,-99.24,91.4,5.82
68,fare,11,PF,1570130407.157054,79,-16.7,-151.02,77.3,16.46
69,fukue,75,JP,1570130407.4167056,94,35.03,136.69,73.4,9.17
70,huanren,42,CN,1570130407.8282323,82,41.26,125.37,47.57,4.69
71,los llanos de aridane,20,ES,1570130408.2499094,83,28.66,-17.92,79.0,14.99
72,ribeira grande,20,PT,1570130408.5631752,73,38.52,-28.7,71.6,13.87
73,cabo rojo,1,PR,1570130409.0858061,70,18.09,-67.15,88.0,5.82
74,saint-philippe,90,CA,1570130409.3596206,57,45.36,-73.48,52.0,9.17
75,airai,0,TL,1570130409.8113263,62,-8.93,125.41,68.32,4.59
76,nikolskoye,90,RU,1570130410.229624,86,59.7,30.79,39.99,8.95
77,sao filipe,53,CV,1570130410.6463537,79,14.9,-24.5,78.6,5.14
78,mae sot,53,MM,1570130410.919066,98,16.71,98.57,71.35,0.58
79,mahanoro,98,MG,1570130411.2787607,95,-19.9,48.8,70.52,1.66
80,leningradskiy,100,RU,1570130411.5933144,86,69.38,178.42,29.46,3.78
81,baoqing,100,CN,1570130411.8512723,85,46.32,132.2,43.34,6.64
82,severo-kurilsk,100,RU,1570130413.2638035,89,50.68,156.12,39.11,7.63
83,kununurra,10,AU,1570130413.579109,77,-15.77,128.74,69.8,3.36
84,qaanaaq,100,GL,1570130413.99283,66,77.48,-69.36,27.95,6.29
85,esperance,90,AU,1570130414.2428672,82,-33.86,121.89,55.4,9.17
86,muriae,32,BR,1570130414.5197518,10,-21.13,-42.37,87.01,4.0
87,vao,100,EE,1570130414.7894988,89,59.1,26.19,42.64,14.36
88,new norfolk,90,AU,1570130415.2449543,76,-42.78,147.06,55.0,13.87
89,irbeyskoye,47,RU,1570130415.660128,60,55.64,95.45,35.78,6.33
90,college,90,US,1570130415.9743762,100,64.86,-147.8,37.4,5.82
91,mayo,90,CA,1570130416.229172,92,63.59,-135.9,30.2,1.45
92,butaritari,89,KI,1570130416.6067932,65,3.07,172.79,84.65,8.27
93,kokkola,0,FI,1570130416.7609124,61,63.84,23.13,39.99,9.17
94,palmer,0,AU,1570130417.0811067,76,-34.85,139.16,61.0,8.05
95,esmeralda,75,CL,1570130417.4411962,39,-34.33,-70.9,62.6,8.05
96,umm kaddadah,89,SD,1570130417.859697,49,13.6,26.69,84.47,11.63
97,kodiak,1,US,1570130418.119196,66,39.95,-94.76,55.99,10.29
98,hilo,90,US,1570130418.3965163,65,19.71,-155.08,82.4,4.7
99,thompson,5,CA,1570130418.561249,46,55.74,-97.86,50.0,8.05
100,honningsvag,75,NO,1570130418.8398976,69,70.98,25.97,39.2,9.17
101,shymkent,0,KZ,1570130419.0950992,44,42.31,69.59,60.8,8.95
102,carnarvon,35,ZA,1570130419.357485,16,-30.97,22.13,60.56,13.71
103,bambous virieux,75,MU,1570130419.708503,100,-20.34,57.76,73.99,6.93
104,sorong,46,ID,1570130419.971715,95,-0.86,131.25,72.8,2.51
105,touros,75,BR,1570130420.369384,69,-5.2,-35.46,80.6,19.46
106,mackay,40,CA,1570130420.6756835,61,53.65,-115.58,48.2,4.7
107,saint-augustin,90,CA,1570130420.9021504,57,45.63,-73.98,52.0,9.17
108,muroto,20,JP,1570130421.2037776,91,33.37,134.14,69.19,4.76
109,puerto escondido,75,MX,1570130421.619608,70,15.86,-97.07,84.2,9.17
110,piripiri,0,BR,1570130421.867231,12,-4.27,-41.78,104.93,5.75
111,chokurdakh,97,RU,1570130422.2479784,92,70.62,147.9,21.29,7.54
112,kahului,40,US,1570130422.6786888,69,20.89,-156.47,82.4,19.46
